lifecycle_kind,campaign_id,symbol,raw_direction,started_at_utc,updated_at_utc,event_count,selected_by_pressure,max_reported_pressure_count,latest_pressure_level,campaign_anchor_source,campaign_anchor_execution_grade,legacy_grouping_rule_version,tradeplan_replay_status
RAW_REPLAY,legacy:GBPUSD:20260720T065120.081562Z:87a478c8f61a74fd,GBPUSD,BUY,2026-07-20T06:51:20.081562+00:00,2026-07-20T06:55:00.689768+00:00,3,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDUSD:20260720T065123.937946Z:7366516356078dc8,AUDUSD,BUY,2026-07-20T06:51:23.937946+00:00,2026-07-20T06:56:22.997427+00:00,3,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURGBP:20260720T065126.236846Z:47c56dfe35316f06,EURGBP,SELL,2026-07-20T06:51:26.236846+00:00,2026-07-20T06:56:23.583448+00:00,4,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:NZDUSD:20260720T065126.930659Z:1115777ac7d4c333,NZDUSD,BUY,2026-07-20T06:51:26.930659+00:00,2026-07-20T06:55:03.579998+00:00,3,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURAUD:20260720T065130.561597Z:8767a73026096394,EURAUD,SELL,2026-07-20T06:51:30.561597+00:00,2026-07-20T06:56:16.986085+00:00,4,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:GBPJPY:20260720T065133.608484Z:6a3d6a1daef0a037,GBPJPY,BUY,2026-07-20T06:51:33.608484+00:00,2026-07-20T06:56:17.714881+00:00,4,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:GBPNZD:20260720T065137.344223Z:699b9ac5b9a32264,GBPNZD,SELL,2026-07-20T06:51:37.344223+00:00,2026-07-20T06:56:26.460474+00:00,4,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDJPY:20260720T065139.586981Z:0851b0e47629bae6,AUDJPY,BUY,2026-07-20T06:51:39.586981+00:00,2026-07-20T06:56:18.787476+00:00,4,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDCHF:20260720T065142.343230Z:90c0ecd1d25b0fca,AUDCHF,BUY,2026-07-20T06:51:42.343230+00:00,2026-07-20T06:56:19.972373+00:00,3,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:NZDJPY:20260720T065142.781436Z:788e11a8ad278760,NZDJPY,BUY,2026-07-20T06:51:42.781436+00:00,2026-07-20T06:56:20.292529+00:00,3,False,3,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:NZDCHF:20260720T065143.297763Z:4bf174abc8192316,NZDCHF,BUY,2026-07-20T06:51:43.297763+00:00,2026-07-20T06:51:43.297763+00:00,1,True,3,PRESSURE_CANARY,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:GBPCHF:20260720T065207.819283Z:6da62eba03db4d35,GBPCHF,BUY,2026-07-20T06:52:07.819283+00:00,2026-07-20T06:56:12.290645+00:00,3,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:EURNZD:20260720T065209.878706Z:04757e143cc62814,EURNZD,SELL,2026-07-20T06:52:09.878706+00:00,2026-07-20T06:56:06.468328+00:00,3,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:AUDCAD:20260720T065222.908869Z:131249065dba8afa,AUDCAD,BUY,2026-07-20T06:52:22.908869+00:00,2026-07-20T06:56:08.113552+00:00,3,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:USDCAD:20260720T065305.906352Z:5c2af851a77a249e,USDCAD,SELL,2026-07-20T06:53:05.906352+00:00,2026-07-20T06:56:22.556073+00:00,3,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:NZDCAD:20260720T065307.616907Z:0a632c7fb61ecdf3,NZDCAD,BUY,2026-07-20T06:53:07.616907+00:00,2026-07-20T06:56:20.526479+00:00,3,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,legacy:CADCHF:20260720T065309.797778Z:fcce60e8b11f5033,CADCHF,BUY,2026-07-20T06:53:09.797778+00:00,2026-07-20T06:56:29.343804+00:00,3,False,1,MICROBOOST_WATCH,LEGACY_EPISODE,False,5scr.legacy-m15-gap.v1,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,GBPUSD_20260720T065119Z_20260720T065619Z,GBPUSD,BUY,2026-07-20T06:56:21.698651+00:00,2026-07-20T07:20:34.440942+00:00,18,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,NZDUSD_20260720T065044Z_20260720T065544Z,NZDUSD,BUY,2026-07-20T06:56:23.516320+00:00,2026-07-20T07:21:07.457473+00:00,18,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,AUDCAD_20260720T065138Z_20260720T065638Z,AUDCAD,BUY,2026-07-20T06:57:23.163944+00:00,2026-07-20T07:21:20.893635+00:00,18,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,EURAUD_20260720T065129Z_20260720T065629Z,EURAUD,SELL,2026-07-20T06:57:32.037140+00:00,2026-07-20T07:20:14.977268+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,GBPJPY_20260720T065132Z_20260720T065632Z,GBPJPY,BUY,2026-07-20T06:57:32.916323+00:00,2026-07-20T07:20:17.026802+00:00,12,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,EURNZD_20260720T065131Z_20260720T065631Z,EURNZD,SELL,2026-07-20T06:57:33.067753+00:00,2026-07-20T07:05:59.568565+00:00,7,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
RAW_REPLAY,GBPCHF_20260720T065132Z_20260720T065632Z,GBPCHF,BUY,2026-07-20T06:57:33.331284+00:00,2026-07-20T07:20:18.329144+00:00,17,False,1,MICROBOOST_WATCH,SOURCE_CLEAN_BLOCK_ID,True,,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
